INDICE,LONG,LAT,NOMBRE,POTENCIA
100,-63.83040858333334,-30.898154055555555,ET. San Agustin,66
101,-63.72866111111111,-32.64391111111111,ET. Santa Catalina,66
102,-63.47459241666667,-31.474564083333334,ET. Sta Rosa de Calamuchita,66
103,-62.45759313888889,-31.118871666666667,ET. Tio Pujio,66
104,-62.37298233333333,-28.643962444444444,ET. Villa de Maria de Rio Seco,66
105,-63.77957911111111,-29.93201436111111,ET. Villa del Totoral,66
106,-63.01698394444444,-32.13559158333333,ET. Vicuña Makena,66
107,-63.08473575,-30.96597622222222,ET. Villa Allende,66
108,-63.86424811111111,-29.13564086111111,ET. Villa de Soto,66
109,-62.47460138888889,-30.66094238888889,ET. Villa del Rosario,66
110,-62.644131083333335,-31.25427072222222,ET. Villa Maria Norte,66
