,INDICE,NOMBRE,LAT,LONG,INICIO
0,5,LH,-31.4410000000,-64.1910000000,20201029T184000Z
0,3,RIV,-33.1612000000,-64.3570000000,20201029T184000Z
0,4,UBP,-31.3372740000,-64.2555630000,20201029T184000Z
0,5,RIV,-33.1612,-64.357,20201029T184000Z
